iter	Passed	Remaining
0	1	113
1	1	95
2	2	90
3	3	87
4	4	85
5	5	83
6	6	81
7	6	80
8	8	81
9	9	81
10	10	83
11	11	82
12	12	81
13	12	79
14	13	77
15	14	76
16	15	74
17	16	73
18	16	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	66
26	24	65
27	25	65
28	26	64
29	27	63
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	32	56
37	33	54
38	34	54
39	35	53
40	36	52
41	36	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	53	33
61	53	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
